"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.855847389151664","0.967079458230125","1.2184310714983","1.43378530820417","1.82332616418916","1.81514222758733","1.90174648560015","2.11620778869978","2.51421179073216","2.83622832068142","2.83404660662712","2.47226691353261","2.54356830468162","2.82228292825439","3.01183970588598","3.37542840813171","3.38078059917177","4.0044726016449","3.65612947591704","3.24903978444622","3.34035704374151","3.57556022609358","3.22534765232702","3.32320684897312","3.96772338852128","4.40627816451583","4.49127242500766","4.219447286897","4.25804378148573","","","",
"American Samoa","ASM","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","488.361854811551","440.287648409574","398.505567115332","379.590796283794","369.720496174071","325.314771294175","321.112382278848","315.323747950188","308.936479194714","300.973307442793","301.378778328599","272.122040258007","260.819018348175","263.172681881286","265.402685607159","270.025316723871","310.426971166751","346.269662778032","353.434103589873","317.773176180362","299.224879336388","299.883094059317","317.043058059347","315.138531230082","322.107670199125","326.762626262626","340.159127807746","348.538381100203","372.772903340832","384.330522742338","311.76738579102","337.306492290788","","","",
"Australia","AUS","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.3220087785823","32.274021046682","35.6563804650468","33.1736337781433","34.8365111982712","36.6381196109715","38.6679959448634","40.2900403601538","41.3450251095043","44.4352431144965","47.4017488120537","51.184201736743","54.7721177558718","60.0529405630437","66.7951760736451","74.5450522158685","82.3268481628295","89.5965846228845","91.4755217118184","79.1653719998637","67.3117179561341","71.6208090382609","146.561428660988","130.714850305529","117.77760486302","118.501136759474","141.368169888626","171.979534748157","133.089283586332","","","",
"Austria","AUT","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","57.3654356497866","56.4811025117202","56.8219693621112","57.7148752234566","56.9690018559862","57.6186961303982","58.2027534653147","58.2593150396456","59.4405568722017","61.0020404676987","62.8901386499086","66.3022144960732","69.0138309538695","70.7610082405117","73.9352760867944","77.484591135399","77.0228425079961","76.5693998778971","78.9836347311124","81.6866744612108","84.9875687545876","86.7991368498518","88.8263392817607","90.114320406233","92.7087004283721","95.1509339767518","98.5641564944845","102.600948193993","104.414400233806","100.98254071698","103.12965586183","107.344881889357","109.250361074532","110.232757442419","112.361232609054","115.169078747796","119.011849108213","123.187112346749","127.791797362234","131.644990306226","123.327323746524","129.241274797194","","","",
"Azerbaijan","AZE","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.960138885654499","0.73220070404042","0.656464431016841","0.606480380138563","0.637785075568885","0.725392942388655","0.975917508825504","0.896362466130322","1.0844801481496","1.32000020740729","1.44517647801048","1.5019999181889","1.54451489925613","1.87170361136695","2.44613043610053","3.07259081306688","3.56698279965983","4.03506787901079","4.30448403470973","4.18443786435088","4.03263989463617","4.26016889182712","4.52914746892205","4.54069940582993","4.32992693401604","4.25195823721889","4.29906631401491","4.25849153089429","4.20459332881759","4.17884932332029","","","",
"Burundi","BDI","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6552053964117","19.8710277310622","17.8801380102417","16.6394350275199","15.8702344271496","14.6851045930419","12.7026396630567","11.3382110718246","9.74023821421219","8.39796046552761","7.77584378192685","7.69053575553404","7.21038161269569","6.7896410427175","6.9674471551593","7.31762279363236","7.26839258025428","7.66246236107749","7.77503627086251","8.19596174001415","8.47888212358976","8.89110132354168","9.23009637727109","9.7030612832796","10.0943469314679","10.5432128955542","11.0623807199182","11.5314975915939","11.0817691762405","11.0152784604369","11.0703549917992","11.2485805580733","11.4524684287129","11.4899359685546","11.8461239834312","","","",
"Belgium","BEL","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","26.7838359172913","26.8636017992763","27.180735199155","27.4251330177822","28.2670424568406","28.9041830967026","29.6064342370508","30.4709476921007","32.102619333023","33.4178714356937","34.6767453979481","35.5293063473407","36.2960901695435","36.1705226061298","37.5713921503695","38.7096208488415","40.6016607837145","43.6793959615792","44.8363877920505","46.7397361288806","48.8241999563453","52.1195750288196","56.1469251147892","57.7284564394304","60.8615533563545","63.4109838910566","65.917660863943","69.2877792790407","70.5626413334106","70.682019845124","73.1952850030094","87.3959430911333","83.9820125596353","92.4548429791364","99.7249663451298","115.434343401235","111.267078982011","107.790925647092","115.525087068966","117.67080695916","111.39417439762","118.303458235155","","","",
"Benin","BEN","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","32.6624306802799","31.9713772984437","30.2236837078937","30.043089644318","28.0979526077467","29.5199439956836","29.6960477099885","29.5455663418639","30.2519413629464","29.890113862896","32.4041327366861","34.5767221792682","37.4132535876505","39.825110940769","42.9799213173371","46.6399516895382","50.3926221249846","52.7323671268254","54.5482466745959","56.9645619319369","57.9404586207715","60.2254789846117","63.8307865373434","66.9563102036572","68.509222642861","69.9575519531421","72.0309209412436","75.4964894040735","80.9257694015886","86.0707701276638","87.6012384392996","90.5268337205639","95.6611191777611","102.067786946557","109.075441346935","113.273528644091","121.378761213662","","","",
"Burkina Faso","BFA","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","9.06793086399362","9.39163067454932","9.00366464326272","9.16758999497544","9.02560841962937","8.6576838574388","9.12358306692969","8.84566244598844","8.70624172271638","8.41118881085757","8.49747182465124","9.03267319245541","9.21189145780767","8.04818971210079","8.16474924820456","7.88245089691487","7.98479411085245","7.93669814201793","8.1680884095091","8.16380006959116","8.50221938444536","9.03387716470464","9.40529409493144","9.95080037565929","10.2455381928304","11.1109051976837","11.8467318512788","12.6111626453234","13.3416749415072","13.9189486186186","14.4647424396452","15.326548425005","16.2773292336554","17.3523766853381","18.3742937156223","18.7437589835209","20.0450491229693","","","",
"Bangladesh","BGD","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.61062713680645","3.79278778189188","4.00411388341802","4.26295498543801","4.54096183758342","4.81403737559155","5.10581903848336","5.4403849729058","5.82738557264051","6.21142485022144","6.66606466522029","7.19147822605556","7.43944165748244","7.95564064274391","","","",
